date,Abuse Level,Tweet Content,Interest
2020-01-13,1 ,맞아.. 일본 양산형 모에(우웩앱창)여캐는 드랙내지는 트젠에 가깝다고 생각함 철저하게 메일게이즈 기반으로 만들어진 모에.. 알고리즘 클리셰 사념체에다가 대강 모에한 여자 가죽만 씌워놓고 여자라고 우기는점이,3
2020-01-17,1 ,성별 이분법적 구조에서 트젠은 위협이 됩니다!' -&gt; 뇌에 힘줘서 내맘대로 이분법에서 넘나드는게 이분법적 구조에 뭐가 위협이 된단 말인가. 결국 이분법은 바뀌지 않을 뿐더러 지들이야말로 착실하게 이분법을 이용해 먹고 있는데?,6
2020-01-21,1 ,트젠들 AV배우 보지사진 들고가서 이렇게 디자인해달라 그러는 거 모르는 사람 없겠지ㅋㅋ 굳이 사진 안들고가더라도 인공보지 돈이 얼만데! 이러면서 의사랑 상의 존나해서 보지 6디자인9 빡세게 함 이거 다 트젠이 지들 입으로 말한거다^^ 진짜 머리끝부터 발까지 가짜로 만들면서 여혐아닌게 없음,831
2020-01-23,1 ,"남자가 트젠 앨라이짓 할 때가 제일 역겨움. 왜냐면 기득권남에게 트젠 옹호는 개이득 그 자체거든.
1. 이미지 챙길 수 있음
2. 단 하나도 내어줄 필요 없음 입만 털면 됨
3. 트젠이 사회적 여성성 수행할 경우 여자들에게 코르셋 압박 강화 가능
4. 관련 사업 진출 가능
5. 정신적 여성을 인정함으로",323
2020-01-24,1 ,트젠이 가부장제의 정석같은 존재래서 조금 어이없고 웃겨짐 그렇죠... 가부장제는 여성과 남성을 선천적 절대불변의 존재로 보고 완벽히 분류하여 권력을 공고히하지 않으며 인간의 성별이 후천적으로 변화함을 지지하여 가부장제의 수명을 늘리는 미래지향적 태도를 가지기로 했나봅니다...ㅋㅋㅋㅋ,0
2020-01-25,1 ,"rt 이성애중심적인 사회에서는 트젠 인정하는게 더 쉬우니 당연한 결과 ㅋㅋ
트랜스젠더리즘 자체가 성역할고정관념에서 비롯된거니 트젠 인정하면 가부장제와 젠더룰이 위협받을 일은 없기 때문임
반면 레즈비언은 남성 없는 결합이니 존재 자체로 가부장제에 위협적이라 동성혼 법제화 안하는거임",7
2020-01-26,1 ,"가부장제 환멸나 설날에 깨달음 얻고 현실에서 탈코하고 트위터에선 새계정 팠습니다 남자, 트젠, 젠더론 받지 않습니다 남성 올려치는 컨텐츠 소비하지 않습니다 편하게 아무거나 흔적 남기시면 찾아가겠습니다 이제 목소리를 내겠습니다
#탈코러_트친소
#래디컬_트친소
#랟펨_트친소",13
2020-01-29,1 ,음..트젠 역겹다기보다는 이해못함.ㄱ싫으면 블락하셈..솔직히 여자남자 몸 차이는 가슴있고 없고 좆달렸나 없냐잖어..그 외엔 비슷한데..음..뭐라하는지 모르겠다.같은 퀴어여도 섹슈얼이랑 젠더는 좀..모르겟삼..,0
2020-01-30,1 ,"진짜 트젠이 생각하는 여자가 뭐임? 그놈의 인형놀이 예쁜옷 화장 
현실 내가 여자라서, 여성혐오인걸 알아차리면 매순간이 역겹기만한데 걔네는 그걸 알까? 모든 순간이 여성혐오인데? 그런거 생각이나 해봤을까? 그와중에 예전부터 인형놀이를.. 화장을 옷을.. 해서 나는 여자라고 느껴이러고잇노",0
2020-01-31,1 ,"아니 종이든 뭐든 비유로 말하려는 내용에 부합하면 할 수 있는거지. 거기다가는 '신체의 복잡성' 타령으로 딴지 걸면서 논점일탈을 하더니, 정작 트젠은 '신체는 본질적 기준이 없고 인공보지도 보지이며 기능이 부족해도 동등하며 심지어 경험이 없어도 여자다!' 이런 주장을 편다",56
2020-01-31,1 ,신체에 기준이 없으면 트젠이 애초에 왜 그 '인공보지'를 만들겠니? 아무리 빡대갈이라지만 제발 생각이라는 걸 해보고 좀 살아ㅋㅋㅋㅋ,60
2020-01-31,1 ,@TransGenderASY 계속 남자로 살아와서 처음부터 명절 음식 만들지도 않은 트젠이 가부장제 타파한답시고 전 안부친다고 말하니까 이상한거죠,3
2020-01-31,1 ,"@mk00253 시스여성보다 트젠이 범죄 더 많이 저지르는데? 시스여성들에게 범죄 저질러대면서 시스여성보다 지들이 불쌍하다고 피해자코스프레하는 거 존나 역겹다.
트젠들은 생물학적 성별을 부정함. 신체기관이 어떻든 대가리 속에 들어있는 관념이 우선한다는 믿음은 생물학과 그다지 어울리지 않음.",3
2020-02-02,1 ,트젠인 사람의 인권 자체는 존중함. 사람으로써 대할 수 있음. 그런데 같은 여성으로는 안 대할 거임. 몇십년을 남자로 살아왔는데 꼬추 떼어내고 보지 달았다고 여자로 취급하라니. 말이 돼...?? 지금 레즈클럽만 해도 마찬가지임... 남자새끼들 레즈인 척 어플 가입하는 것도 역겨운데,4
2020-02-02,1 ,"ㄱㅇ랑 ㄹㅈ가 다르듯 ㄹㅈ랑 트젠도 다르단다 설마 그것도 모르는 거 아니지? 그러니까 같은 곳에서 어울리려고 하지 않았음 좋겠다~
역겨워하거나 비하하거나 이해 못하는 건 아닌데 싫어질만한 행동들 자꾸 사서 하면 너네도 배제 대상 밖에 더 되겠니 😅 니들이 그렇게 만든다는 것만 잊지마라 😉",2
2020-02-02,1 ,"존웃ㅋㅋㅋㅋ갑자기 애호박 생각나고...자기연민 심한 사람 정말 보기만해도 돌아버리겠는데 (+ 자의식 과잉) 한남 기혼여성 트젠에 많은 것 같다.  공통점은 가부장제 부역자,  그남 못잃어 광광이들",0
2020-02-04,1 ,트젠 응호하고 감싸주면서 페미라 하는 분들 님들은 페미 아니에요 백인을 더 우선시 하고 감싸주면서 흑인 인권 운동가라는 거나 비장애인이 더 낫다고 하면서 장애인 인권 운동가라고 하는 거랑 뭐가 달라요 페미 물 더럽히지 말고 트젠 인권 운동가라고 하세요 페미계에 발도 들이지 말고,2
2020-02-05,1 ,트젠이나 트젠 앨라이들은 남성권력에 저항하는 존재가 아님. 가부장적 이데올로기를 뼛속 깊이 내면화한 시종들임.,35
2020-02-05,1 ,트젠은 여성성(ㅎㅌㅊ코르셋)=여성이라는 가부장적인 도식 아래에서만 성립가능함 남성의 입지는 공고하고 여성의 파이만 나누게 되는 거임 여성주의자 타이틀 달고 트젠 지지하는거 어이털림 걍 여성성지지자로 이름 바꾸든가,0
2020-02-05,1 ,"흑인으로 성형한 백인이랑 트젠이 다른게 뭐냐고ㄷㄷ
검은 피부가 좋고 아프리카 음식이 좋고
핑크색이 좋고 치마입고 화장하는게 좋고
색소주사 맞고 까매졌으니까 흑인이고
꼬추 접어서 인공보지 만들었으니까 여자고
존나 똑같음ㅋㅋ",2
2020-02-06,1 ,@focusin_mylife 정말 트젠꿘들이나 남권주의자들은 기본적인 피아식별 능력을 길렀으면 좋겠습니다ㅋㅋㅋㅋ 자기네들이 트젠(남)이든 남성을 응원하든 그남들과 같은 대접을 받는 것도 아닌데 말이에요.,0
2020-02-07,1 ,@kyugenius 무엇이 남냐면 고자가 여대 문턱 넘는 걸 막았습니다 지금 환영하면 비수술 '트젠'도 들어오려고 하겠지요 여자 갈 곳 뺏고 남녀공학 만들려고 난리가 나겠죠 착잡하네요 동반자법도 제정되지 않았는데 지금 가부장제 강화하는 트젠 편들고 있을 때가 아닙니다,158
2020-02-07,1 ,"Mtf 트젠의 여대입학에 반발이 있었던것은 그게 비정상이라서가 아니라 여대의 설립 취지와 어긋나기때문이고 성별은 수술로 바꿀 수 없기 때문,젠더라는 것은 가부장제가 만들어낸 허상이다 트젠 개개인은 가부장제의 희생자이지만 그것으로 인해 여성이 고통받는다면 난 절대적으로 여성을 지지할 것",1
2020-02-07,1 ,트젠 본인의 인권이 우리가 고려해야 할 가장 중요한 가치 아닐까&lt;&lt;아니 그래서 트젠 인권이 가장 중요한 웅앵이면 시스여성은 언제 챙겨주시는데요ㅋㅋ 맨날 우리더러 다 챙기래 걍 비웃겨;; 여자 인권 챙기자!&gt;남자인권은?ㅋ 역차별!&gt;트젠은?!&gt;어쩌고는?!&gt;ㅗㅗㅗ,0
